"Date","PM2.5 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/01/2019","15","","RIVER TERRACE","11-001-0041","AQS"
"01/02/2019","25","","Near Road","11-001-0051","AQS"
"01/03/2019","31","","Near Road","11-001-0051","AQS"
"01/04/2019","51","","RIVER TERRACE","11-001-0041","AQS"
"01/05/2019","24","","RIVER TERRACE","11-001-0041","AQS"
"01/06/2019","25","","Near Road","11-001-0051","AQS"
"01/07/2019","18","","Near Road","11-001-0051","AQS"
"01/08/2019","28","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/09/2019","14","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/10/2019","11","","Near Road","11-001-0051","AQS"
"01/11/2019","19","","Near Road","11-001-0051","AQS"
"01/12/2019","43","","Near Road","11-001-0051","AQS"
"01/13/2019","43","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/14/2019","34","","Near Road","11-001-0051","AQS"
"01/15/2019","59","","Near Road","11-001-0051","AQS"
"01/16/2019","53","","Near Road","11-001-0051","AQS"
"01/17/2019","37","","Near Road","11-001-0051","AQS"
"01/18/2019","63","","RIVER TERRACE","11-001-0041","AQS"
"01/19/2019","69","","RIVER TERRACE","11-001-0041","AQS"
"01/20/2019","13","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/21/2019","8","","King Greenleaf Rec Center","11-001-0053","AQS"
"01/22/2019","27","","Near Road","11-001-0051","AQS"
"01/23/2019","30","","Near Road","11-001-0051","AQS"
"01/24/2019","13","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"01/25/2019","23","","King Greenleaf Rec Center","11-001-0053","AQS"
"01/26/2019","41","","Near Road","11-001-0051","AQS"
"01/27/2019","49","","Near Road","11-001-0051","AQS"
"01/28/2019","30","","RIVER TERRACE","11-001-0041","AQS"
"01/29/2019","48","","Near Road","11-001-0051","AQS"
"01/30/2019","24","","Near Road","11-001-0051","AQS"
"01/31/2019","23","","RIVER TERRACE","11-001-0041","AQS"
"02/01/2019","54","","Near Road","11-001-0051","AQS"
"02/02/2019","79","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
